Year,peloton average speed (km/h)
1903,25.679
1904,25.265
1905,27.107
1906,24.463
1907,28.470
1908,28.740
1909,28.658
1910,29.099
1911,27.322
1912,27.763
1913,26.715
1914,26.835
1919,24.056
1920,24.072
1921,24.724
1922,24.196
1923,24.233
1924,24.250
1925,24.820
1926,24.273
1927,27.224
1928,28.400
1929,28.319
1930,28.000
1931,28.735
1932,29.047
1933,29.818
1934,30.360
1935,30.650
1936,31.108
1937,31.768
1938,31.565
1939,31.986
1947,31.412
1948,33.442
1949,32.121
1950,32.778
1951,32.949
1952,32.233
1953,34.593
1954,33.229
1955,34.446
1956,36.268
1957,34.520
1958,36.919
1959,35.474
1960,37.210
1961,36.033
1962,37.317
1963,37.092
1964,35.419
1965,35.886
1966,36.760
1967,34.756
1968,33.556
1969,35.409
1970,35.589
1971,38.084
1972,35.514
1973,33.407
1974,35.241
1975,34.906
1976,34.518
1977,35.419
1978,36.084
1979,36.513
1980,35.144
1981,38.960
1982,38.059
1983,36.230
1984,35.882
1985,36.232
1986,37.020
1987,36.645
1988,38.909
1989,37.487
1990,38.621
1991,38.747
1992,39.504
1993,38.709
1994,38.383
1995,39.193
1996,39.227
1997,39.237
1998,39.983
1999,40.276
2000,39.569
2001,40.070
2002,39.920
2003,40.940
2004,40.553
2005,41.654
2006,40.784
2007,39.228
2008,40.492
2009,40.315
2010,39.594
2011,39.788
2012,39.883
2013,40.542
2014,40.662
2015,39.567
2016,39.571
2017,40.995
2018,40.206